total_bill,tip,sex,smoker,day,time,size,billdate,ID
16.99,1.01,Female,No,Sun,Dinner,2,2022-01-01,1
10.34,1.66,Male,No,Sun,Dinner,3,2022-01-02,2
21.01,3.5,Male,No,Sun,Dinner,3,2022-01-03,3
23.68,3.31,Male,No,Sun,Dinner,2,2022-01-04,4
24.59,3.61,Female,No,Sun,Dinner,4,2022-01-05,5
25.29,4.71,Male,No,Sun,Dinner,4,2022-01-06,6
8.77,2,Male,No,Sun,Dinner,2,2022-01-07,7
26.88,3.12,Male,No,Sun,Dinner,4,2022-01-08,8
15.04,1.96,Male,No,Sun,Dinner,2,2022-01-09,9
14.78,3.23,Male,No,Sun,Dinner,2,2022-01-10,10
10.27,1.71,Male,No,Sun,Dinner,2,2022-01-11,11
35.26,5,Female,No,Sun,Dinner,4,2022-01-12,12
15.42,1.57,Male,No,Sun,Dinner,2,2022-01-13,13
18.43,3,Male,No,Sun,Dinner,4,2022-01-14,14
14.83,3.02,Female,No,Sun,Dinner,2,2022-01-15,15
21.58,3.92,Male,No,Sun,Dinner,2,2022-01-16,16
10.33,1.67,Female,No,Sun,Dinner,3,2022-01-17,17
16.29,3.71,Male,No,Sun,Dinner,3,2022-01-18,18
16.97,3.5,Female,No,Sun,Dinner,3,2022-01-19,19
20.65,3.35,Male,No,Sat,Dinner,3,2022-01-20,20
17.92,4.08,Male,No,Sat,Dinner,2,2022-01-21,21
20.29,2.75,Female,No,Sat,Dinner,2,2022-01-22,22
15.77,2.23,Female,No,Sat,Dinner,2,2022-01-23,23
39.42,7.58,Male,No,Sat,Dinner,4,2022-01-24,24
19.82,3.18,Male,No,Sat,Dinner,2,2022-01-25,25
17.81,2.34,Male,No,Sat,Dinner,4,2022-01-26,26
13.37,2,Male,No,Sat,Dinner,2,2022-01-27,27
12.69,2,Male,No,Sat,Dinner,2,2022-01-28,28
21.7,4.3,Male,No,Sat,Dinner,2,2022-01-29,29
19.65,3,Female,No,Sat,Dinner,2,2022-01-30,30
9.55,1.45,Male,No,Sat,Dinner,2,2022-01-31,31
18.35,2.5,Male,No,Sat,Dinner,4,2022-02-01,32
15.06,3,Female,No,Sat,Dinner,2,2022-02-02,33
20.69,2.45,Female,No,Sat,Dinner,4,2022-02-03,34
17.78,3.27,Male,No,Sat,Dinner,2,2022-02-04,35
24.06,3.6,Male,No,Sat,Dinner,3,2022-02-05,36
16.31,2,Male,No,Sat,Dinner,3,2022-02-06,37
16.93,3.07,Female,No,Sat,Dinner,3,2022-02-07,38
18.69,2.31,Male,No,Sat,Dinner,3,2022-02-08,39
31.27,5,Male,No,Sat,Dinner,3,2022-02-09,40
16.04,2.24,Male,No,Sat,Dinner,3,2022-02-10,41
17.46,2.54,Male,No,Sun,Dinner,2,2022-02-11,42
13.94,3.06,Male,No,Sun,Dinner,2,2022-02-12,43
9.68,1.32,Male,No,Sun,Dinner,2,2022-02-13,44
30.4,5.6,Male,No,Sun,Dinner,4,2022-02-14,45
18.29,3,Male,No,Sun,Dinner,2,2022-02-15,46
22.23,5,Male,No,Sun,Dinner,2,2022-02-16,47
32.4,6,Male,No,Sun,Dinner,4,2022-02-17,48
28.55,2.05,Male,No,Sun,Dinner,3,2022-02-18,49
18.04,3,Male,No,Sun,Dinner,2,2022-02-19,50
12.54,2.5,Male,No,Sun,Dinner,2,2022-02-20,51
10.29,2.6,Female,No,Sun,Dinner,2,2022-02-21,52
34.81,5.2,Female,No,Sun,Dinner,4,2022-02-22,53
9.94,1.56,Male,No,Sun,Dinner,2,2022-02-23,54
25.56,4.34,Male,No,Sun,Dinner,4,2022-02-24,55
19.49,3.51,Male,No,Sun,Dinner,2,2022-02-25,56
38.01,3,Male,Yes,Sat,Dinner,4,2022-02-26,57
26.41,1.5,Female,No,Sat,Dinner,2,2022-02-27,58
11.24,1.76,Male,Yes,Sat,Dinner,2,2022-02-28,59
48.27,6.73,Male,No,Sat,Dinner,4,2022-03-01,60
20.29,3.21,Male,Yes,Sat,Dinner,2,2022-03-02,61
13.81,2,Male,Yes,Sat,Dinner,2,2022-03-03,62
11.02,1.98,Male,Yes,Sat,Dinner,2,2022-03-04,63
18.29,3.76,Male,Yes,Sat,Dinner,4,2022-03-05,64
17.59,2.64,Male,No,Sat,Dinner,3,2022-03-06,65
20.08,3.15,Male,No,Sat,Dinner,3,2022-03-07,66
16.45,2.47,Female,No,Sat,Dinner,2,2022-03-08,67
3.07,1,Female,Yes,Sat,Dinner,1,2022-03-09,68
20.23,2.01,Male,No,Sat,Dinner,2,2022-03-10,69
15.01,2.09,Male,Yes,Sat,Dinner,2,2022-03-11,70
12.02,1.97,Male,No,Sat,Dinner,2,2022-03-12,71
17.07,3,Female,No,Sat,Dinner,3,2022-03-13,72
26.86,3.14,Female,Yes,Sat,Dinner,2,2022-03-14,73
25.28,5,Female,Yes,Sat,Dinner,2,2022-03-15,74
14.73,2.2,Female,No,Sat,Dinner,2,2022-03-16,75
10.51,1.25,Male,No,Sat,Dinner,2,2022-03-17,76
17.92,3.08,Male,Yes,Sat,Dinner,2,2022-03-18,77
27.2,4,Male,No,Thur,Lunch,4,2022-03-19,78
22.76,3,Male,No,Thur,Lunch,2,2022-03-20,79
17.29,2.71,Male,No,Thur,Lunch,2,2022-03-21,80
19.44,3,Male,Yes,Thur,Lunch,2,2022-03-22,81
16.66,3.4,Male,No,Thur,Lunch,2,2022-03-23,82
10.07,1.83,Female,No,Thur,Lunch,1,2022-03-24,83
32.68,5,Male,Yes,Thur,Lunch,2,2022-03-25,84
15.98,2.03,Male,No,Thur,Lunch,2,2022-03-26,85
34.83,5.17,Female,No,Thur,Lunch,4,2022-03-27,86
13.03,2,Male,No,Thur,Lunch,2,2022-03-28,87
18.28,4,Male,No,Thur,Lunch,2,2022-03-29,88
24.71,5.85,Male,No,Thur,Lunch,2,2022-03-30,89
21.16,3,Male,No,Thur,Lunch,2,2022-03-31,90
28.97,3,Male,Yes,Fri,Dinner,2,2022-04-01,91
22.49,3.5,Male,No,Fri,Dinner,2,2022-04-02,92
5.75,1,Female,Yes,Fri,Dinner,2,2022-04-03,93
16.32,4.3,Female,Yes,Fri,Dinner,2,2022-04-04,94
22.75,3.25,Female,No,Fri,Dinner,2,2022-04-05,95
40.17,4.73,Male,Yes,Fri,Dinner,4,2022-04-06,96
27.28,4,Male,Yes,Fri,Dinner,2,2022-04-07,97
12.03,1.5,Male,Yes,Fri,Dinner,2,2022-04-08,98
21.01,3,Male,Yes,Fri,Dinner,2,2022-04-09,99
12.46,1.5,Male,No,Fri,Dinner,2,2022-04-10,100
11.35,2.5,Female,Yes,Fri,Dinner,2,2022-04-11,101
15.38,3,Female,Yes,Fri,Dinner,2,2022-04-12,102
44.3,2.5,Female,Yes,Sat,Dinner,3,2022-04-13,103
22.42,3.48,Female,Yes,Sat,Dinner,2,2022-04-14,104
20.92,4.08,Female,No,Sat,Dinner,2,2022-04-15,105
15.36,1.64,Male,Yes,Sat,Dinner,2,2022-04-16,106
20.49,4.06,Male,Yes,Sat,Dinner,2,2022-04-17,107
25.21,4.29,Male,Yes,Sat,Dinner,2,2022-04-18,108
18.24,3.76,Male,No,Sat,Dinner,2,2022-04-19,109
14.31,4,Female,Yes,Sat,Dinner,2,2022-04-20,110
14,3,Male,No,Sat,Dinner,2,2022-04-21,111
7.25,1,Female,No,Sat,Dinner,1,2022-04-22,112
38.07,4,Male,No,Sun,Dinner,3,2022-04-23,113
23.95,2.55,Male,No,Sun,Dinner,2,2022-04-24,114
25.71,4,Female,No,Sun,Dinner,3,2022-04-25,115
17.31,3.5,Female,No,Sun,Dinner,2,2022-04-26,116
29.93,5.07,Male,No,Sun,Dinner,4,2022-04-27,117
10.65,1.5,Female,No,Thur,Lunch,2,2022-04-28,118
12.43,1.8,Female,No,Thur,Lunch,2,2022-04-29,119
24.08,2.92,Female,No,Thur,Lunch,4,2022-04-30,120
11.69,2.31,Male,No,Thur,Lunch,2,2022-05-01,121
13.42,1.68,Female,No,Thur,Lunch,2,2022-05-02,122
14.26,2.5,Male,No,Thur,Lunch,2,2022-05-03,123
15.95,2,Male,No,Thur,Lunch,2,2022-05-04,124
12.48,2.52,Female,No,Thur,Lunch,2,2022-05-05,125
29.8,4.2,Female,No,Thur,Lunch,6,2022-05-06,126
8.52,1.48,Male,No,Thur,Lunch,2,2022-05-07,127
14.52,2,Female,No,Thur,Lunch,2,2022-05-08,128
11.38,2,Female,No,Thur,Lunch,2,2022-05-09,129
22.82,2.18,Male,No,Thur,Lunch,3,2022-05-10,130
19.08,1.5,Male,No,Thur,Lunch,2,2022-05-11,131
20.27,2.83,Female,No,Thur,Lunch,2,2022-05-12,132
11.17,1.5,Female,No,Thur,Lunch,2,2022-05-13,133
12.26,2,Female,No,Thur,Lunch,2,2022-05-14,134
18.26,3.25,Female,No,Thur,Lunch,2,2022-05-15,135
8.51,1.25,Female,No,Thur,Lunch,2,2022-05-16,136
10.33,2,Female,No,Thur,Lunch,2,2022-05-17,137
14.15,2,Female,No,Thur,Lunch,2,2022-05-18,138
16,2,Male,Yes,Thur,Lunch,2,2022-05-19,139
13.16,2.75,Female,No,Thur,Lunch,2,2022-05-20,140
17.47,3.5,Female,No,Thur,Lunch,2,2022-05-21,141
34.3,6.7,Male,No,Thur,Lunch,6,2022-05-22,142
41.19,5,Male,No,Thur,Lunch,5,2022-05-23,143
27.05,5,Female,No,Thur,Lunch,6,2022-05-24,144
16.43,2.3,Female,No,Thur,Lunch,2,2022-05-25,145
8.35,1.5,Female,No,Thur,Lunch,2,2022-05-26,146
18.64,1.36,Female,No,Thur,Lunch,3,2022-05-27,147
11.87,1.63,Female,No,Thur,Lunch,2,2022-05-28,148
9.78,1.73,Male,No,Thur,Lunch,2,2022-05-29,149
7.51,2,Male,No,Thur,Lunch,2,2022-05-30,150
14.07,2.5,Male,No,Sun,Dinner,2,2022-05-31,151
13.13,2,Male,No,Sun,Dinner,2,2022-06-01,152
17.26,2.74,Male,No,Sun,Dinner,3,2022-06-02,153
24.55,2,Male,No,Sun,Dinner,4,2022-06-03,154
19.77,2,Male,No,Sun,Dinner,4,2022-06-04,155
29.85,5.14,Female,No,Sun,Dinner,5,2022-06-05,156
48.17,5,Male,No,Sun,Dinner,6,2022-06-06,157
25,3.75,Female,No,Sun,Dinner,4,2022-06-07,158
13.39,2.61,Female,No,Sun,Dinner,2,2022-06-08,159
16.49,2,Male,No,Sun,Dinner,4,2022-06-09,160
21.5,3.5,Male,No,Sun,Dinner,4,2022-06-10,161
12.66,2.5,Male,No,Sun,Dinner,2,2022-06-11,162
16.21,2,Female,No,Sun,Dinner,3,2022-06-12,163
13.81,2,Male,No,Sun,Dinner,2,2022-06-13,164
17.51,3,Female,Yes,Sun,Dinner,2,2022-06-14,165
24.52,3.48,Male,No,Sun,Dinner,3,2022-06-15,166
20.76,2.24,Male,No,Sun,Dinner,2,2022-06-16,167
31.71,4.5,Male,No,Sun,Dinner,4,2022-06-17,168
10.59,1.61,Female,Yes,Sat,Dinner,2,2022-06-18,169
10.63,2,Female,Yes,Sat,Dinner,2,2022-06-19,170
50.81,10,Male,Yes,Sat,Dinner,3,2022-06-20,171
15.81,3.16,Male,Yes,Sat,Dinner,2,2022-06-21,172
7.25,5.15,Male,Yes,Sun,Dinner,2,2022-06-22,173
31.85,3.18,Male,Yes,Sun,Dinner,2,2022-06-23,174
16.82,4,Male,Yes,Sun,Dinner,2,2022-06-24,175
32.9,3.11,Male,Yes,Sun,Dinner,2,2022-06-25,176
17.89,2,Male,Yes,Sun,Dinner,2,2022-06-26,177
14.48,2,Male,Yes,Sun,Dinner,2,2022-06-27,178
9.6,4,Female,Yes,Sun,Dinner,2,2022-06-28,179
34.63,3.55,Male,Yes,Sun,Dinner,2,2022-06-29,180
34.65,3.68,Male,Yes,Sun,Dinner,4,2022-06-30,181
23.33,5.65,Male,Yes,Sun,Dinner,2,2022-07-01,182
45.35,3.5,Male,Yes,Sun,Dinner,3,2022-07-02,183
23.17,6.5,Male,Yes,Sun,Dinner,4,2022-07-03,184
40.55,3,Male,Yes,Sun,Dinner,2,2022-07-04,185
20.69,5,Male,No,Sun,Dinner,5,2022-07-05,186
20.9,3.5,Female,Yes,Sun,Dinner,3,2022-07-06,187
30.46,2,Male,Yes,Sun,Dinner,5,2022-07-07,188
18.15,3.5,Female,Yes,Sun,Dinner,3,2022-07-08,189
23.1,4,Male,Yes,Sun,Dinner,3,2022-07-09,190
15.69,1.5,Male,Yes,Sun,Dinner,2,2022-07-10,191
19.81,4.19,Female,Yes,Thur,Lunch,2,2022-07-11,192
28.44,2.56,Male,Yes,Thur,Lunch,2,2022-07-12,193
15.48,2.02,Male,Yes,Thur,Lunch,2,2022-07-13,194
16.58,4,Male,Yes,Thur,Lunch,2,2022-07-14,195
7.56,1.44,Male,No,Thur,Lunch,2,2022-07-15,196
10.34,2,Male,Yes,Thur,Lunch,2,2022-07-16,197
43.11,5,Female,Yes,Thur,Lunch,4,2022-07-17,198
13,2,Female,Yes,Thur,Lunch,2,2022-07-18,199
13.51,2,Male,Yes,Thur,Lunch,2,2022-07-19,200
18.71,4,Male,Yes,Thur,Lunch,3,2022-07-20,201
12.74,2.01,Female,Yes,Thur,Lunch,2,2022-07-21,202
13,2,Female,Yes,Thur,Lunch,2,2022-07-22,203
16.4,2.5,Female,Yes,Thur,Lunch,2,2022-07-23,204
20.53,4,Male,Yes,Thur,Lunch,4,2022-07-24,205
16.47,3.23,Female,Yes,Thur,Lunch,3,2022-07-25,206
26.59,3.41,Male,Yes,Sat,Dinner,3,2022-07-26,207
38.73,3,Male,Yes,Sat,Dinner,4,2022-07-27,208
24.27,2.03,Male,Yes,Sat,Dinner,2,2022-07-28,209
12.76,2.23,Female,Yes,Sat,Dinner,2,2022-07-29,210
30.06,2,Male,Yes,Sat,Dinner,3,2022-07-30,211
25.89,5.16,Male,Yes,Sat,Dinner,4,2022-07-31,212
48.33,9,Male,No,Sat,Dinner,4,2022-08-01,213
13.27,2.5,Female,Yes,Sat,Dinner,2,2022-08-02,214
28.17,6.5,Female,Yes,Sat,Dinner,3,2022-08-03,215
12.9,1.1,Female,Yes,Sat,Dinner,2,2022-08-04,216
28.15,3,Male,Yes,Sat,Dinner,5,2022-08-05,217
11.59,1.5,Male,Yes,Sat,Dinner,2,2022-08-06,218
7.74,1.44,Male,Yes,Sat,Dinner,2,2022-08-07,219
30.14,3.09,Female,Yes,Sat,Dinner,4,2022-08-08,220
12.16,2.2,Male,Yes,Fri,Lunch,2,2022-08-09,221
13.42,3.48,Female,Yes,Fri,Lunch,2,2022-08-10,222
8.58,1.92,Male,Yes,Fri,Lunch,1,2022-08-11,223
15.98,3,Female,No,Fri,Lunch,3,2022-08-12,224
13.42,1.58,Male,Yes,Fri,Lunch,2,2022-08-13,225
16.27,2.5,Female,Yes,Fri,Lunch,2,2022-08-14,226
10.09,2,Female,Yes,Fri,Lunch,2,2022-08-15,227
20.45,3,Male,No,Sat,Dinner,4,2022-08-16,228
13.28,2.72,Male,No,Sat,Dinner,2,2022-08-17,229
22.12,2.88,Female,Yes,Sat,Dinner,2,2022-08-18,230
24.01,2,Male,Yes,Sat,Dinner,4,2022-08-19,231
15.69,3,Male,Yes,Sat,Dinner,3,2022-08-20,232
11.61,3.39,Male,No,Sat,Dinner,2,2022-08-21,233
10.77,1.47,Male,No,Sat,Dinner,2,2022-08-22,234
15.53,3,Male,Yes,Sat,Dinner,2,2022-08-23,235
10.07,1.25,Male,No,Sat,Dinner,2,2022-08-24,236
12.6,1,Male,Yes,Sat,Dinner,2,2022-08-25,237
32.83,1.17,Male,Yes,Sat,Dinner,2,2022-08-26,238
35.83,4.67,Female,No,Sat,Dinner,3,2022-08-27,239
29.03,5.92,Male,No,Sat,Dinner,3,2022-08-28,240
27.18,2,Female,Yes,Sat,Dinner,2,2022-08-29,241
22.67,2,Male,Yes,Sat,Dinner,2,2022-08-30,242
17.82,1.75,Male,No,Sat,Dinner,2,2022-08-31,243
18.78,3,Female,No,Thur,Dinner,2,2022-09-01,244
